mode,batch_size,input_tokens,output_tokens,ttft_s,e2e_s,job_level_tps,otps,actual_qps,per_gpu_tps_mean,per_gpu_tps_stdev
HF_Static_FP16,8,65,8127,0.061533,278.868533,233.14,29.15,0.0287,233.14,0.80
HF_Static_FP16,16,65,8127,0.083767,261.331633,497.57,31.11,0.0612,497.57,0.34
HF_Static_FP16,32,65,8127,0.155767,259.976633,1000.34,31.28,0.1231,1000.34,2.36
HF_Static_FP16,64,65,--,--,--,--,--,--,--,--
HF_Static_FP16,96,--,--,--,--,--,--,--,--,--
HF_Static_FP16,128,--,--,--,--,--,--,--,--,--
HF_Static_FP16,192,--,--,--,--,--,--,--,--,--
HF_Static_FP16,256,--,--,--,--,--,--,--,--,--
HF_Dynamic_FP16,8,65,8127,0.041500,266.109533,244.32,30.54,0.0301,244.44,5.46
HF_Dynamic_FP16,16,65,8127,0.047967,322.865000,402.74,25.18,0.0496,402.92,8.31
HF_Dynamic_FP16,32,65,8127,0.082100,475.641000,546.77,17.09,0.0673,546.77,0.92
HF_Dynamic_FP16,64,65,--,--,--,--,--,--,--,--
HF_Dynamic_FP16,96,--,--,--,--,--,--,--,--,--
HF_Dynamic_FP16,128,--,--,--,--,--,--,--,--,--
HF_Dynamic_FP16,192,--,--,--,--,--,--,--,--,--
HF_Dynamic_FP16,256,--,--,--,--,--,--,--,--,--
HF_KIVI_INT4,8,65,8127,0.067000,402.791933,161.41,20.18,0.0199,161.41,0.14
HF_KIVI_INT4,16,65,8127,0.063800,631.570633,205.89,12.87,0.0253,205.89,0.21
HF_KIVI_INT4,32,65,8127,0.093633,1090.023567,238.59,7.46,0.0294,238.59,0.02
HF_KIVI_INT4,64,65,8127,0.164600,2039.956833,254.97,3.98,0.0314,254.97,0.08
HF_KIVI_INT4,96,65,--,--,--,--,--,--,--,--
HF_KIVI_INT4,128,65,--,--,--,--,--,--,--,--
HF_KIVI_INT4,192,65,--,--,--,--,--,--,--,--
HF_KIVI_INT4,256,65,--,--,--,--,--,--,--,--
Kitty-Pro,8,65,8127,0.042667,293.807500,221.29,27.66,0.0272,221.29,1.06
Kitty-Pro,16,65,8127,0.048900,304.675500,426.79,26.68,0.0525,426.79,1.07
Kitty-Pro,32,65,8127,0.083900,297.439667,874.34,27.33,0.1076,874.35,1.70
Kitty-Pro,64,65,8127,0.150200,354.510967,1467.17,22.93,0.1805,1467.19,4.68
Kitty-Pro,96,65,8127,0.219633,460.666533,1693.62,17.65,0.2084,1693.65,7.61
Kitty-Pro,128,65,8127,0.283167,546.803400,1902.43,14.87,0.2341,1902.43,1.37
Kitty-Pro,192,65,8127,0.412933,741.510467,2104.33,10.97,0.2589,2104.34,2.71
Kitty-Pro,256,65,8127,0.549467,940.806733,2211.41,8.64,0.2721,2211.41,1.12
SGLang BF16,8,--,--,--,--,--,--,--,--,--
SGLang BF16,16,--,--,--,--,--,--,--,--,--
SGLang BF16,32,--,--,--,--,--,--,--,--,--
SGLang BF16,64,--,--,--,--,--,--,--,--,--
SGLang BF16,96,--,--,--,--,--,--,--,--,--
SGLang BF16,128,--,--,--,--,--,--,--,--,--
SGLang BF16,192,--,--,--,--,--,--,--,--,--
SGLang BF16,256,--,--,--,--,--,--,--,--,--
BDQ (fused) - Finetuned - V2,8,--,--,--,--,--,--,--,--,--
BDQ (fused) - Finetuned - V2,16,--,--,--,--,--,--,--,--,--
BDQ (fused) - Finetuned - V2,32,--,--,--,--,--,--,--,--,--
BDQ (fused) - Finetuned - V2,64,--,--,--,--,--,--,--,--,--
BDQ (fused) - Finetuned - V2,96,--,--,--,--,--,--,--,--,--
BDQ (fused) - Finetuned - V2,128,--,--,--,--,--,--,--,--,--
BDQ (fused) - Finetuned - V2,192,--,--,--,--,--,--,--,--,--
BDQ (fused) - Finetuned - V2,256,--,--,--,--,--,--,--,--,--
